TransactionID,Amount,CustomerID
1,55.530334429869185,1952
2,12.881180192784143,1027
3,50.176321517065674,1955
4,41.63400105303006,1796
5,78.12285326574603,1946
6,86.94708413376785,1204
7,51.147096478181204,1311
8,56.163984308348134,1693
9,37.182411723100415,1347
10,17.245409041786953,1574
11,86.18094790838266,1424
12,95.55400891993546,1302
13,47.13851441157395,1321
14,98.80425008117197,1700
15,99.83263446243002,1321
16,20.735039147246727,1463
17,44.545118851072075,1962
18,27.05493666999777,1854
19,13.615519156393287,1651
20,20.802289635108878,1715
21,36.04360521851923,1724
22,99.1004273987159,1117
23,85.4201781893225,1613
24,84.05328458627297,1643
25,50.258612452465634,1788
26,52.593928648769634,1251
27,20.489320943431522,1960
28,12.397442736592343,1187
29,25.334803493141827,1121
30,70.07512697850342,1117
31,92.61930297757841,1475
32,77.7269441692719,1993
33,59.3509900357369,1030
34,61.34763595275774,1116
35,60.474016327912075,1676
36,42.20773347952953,1547
37,71.26856791663724,1527
38,46.214982406953474,1087
39,14.631689486372219,1207
40,80.53777562959479,1038
41,47.874851353915766,1800
42,85.10981610829299,1510
43,55.81926585658818,1104
44,86.97191973785533,2000
45,69.75758075212585,1644
46,79.35791579481321,1238
47,72.74250983074938,1759
48,17.6405694778187,1994
49,30.793728080558463,1752
50,61.352979401069284,1415
51,42.07616320785515,1044
52,90.81333790562651,1374
53,42.08401695356378,1345
54,87.77609114158098,1680
55,62.13088122838467,1043
56,83.1517552203441,1611
57,49.723786313021925,1704
58,13.081741283544147,1405
59,28.62756065487808,1161
60,82.91599923239106,1336
61,76.11459127700137,1714
62,66.56159118369223,1865
63,50.51711429707575,1702
64,55.162744952494926,1483
65,78.33451388591148,1139
66,51.414487978898904,1108
67,81.34788954135908,1056
68,95.23140544260824,1548
69,87.15831942631942,1887
70,78.69681169305915,1897
71,23.806236820227436,1154
72,57.31615922446038,1286
73,67.92604330939866,1149
74,16.26344880319616,1158
75,13.42002255353782,1606
76,42.76855554669151,1422
77,41.21158341874049,1007
78,58.13859005804491,1985
79,14.634664157422302,1776
80,19.137591520992622,1159
81,29.83486576041774,1493
82,38.43137755298227,1322
