CustomerID,AccountBalance,LastLogin
1001,9507.27205955636,2022-01-01
1002,7408.704535557173,2022-01-02
1003,1715.321988918382,2022-01-03
1004,3101.5091338402535,2022-01-04
1005,5405.766913696731,2022-01-05
1006,9347.967162033714,2022-01-06
1007,2957.7600542968958,2022-01-07
1008,8303.773585052018,2022-01-08
1009,5359.747810190935,2022-01-09
1010,9506.882688627556,2022-01-10
1011,1895.7059030143778,2022-01-11
1012,2706.148887561668,2022-01-12
1013,8646.50724993274,2022-01-13
1014,9922.291973047819,2022-01-14
1015,3146.2481883176556,2022-01-15
1016,8612.857297188031,2022-01-16
1017,5179.000965050205,2022-01-17
1018,2727.8305249244922,2022-01-18
1019,3797.7345359806613,2022-01-19
1020,3552.8551470813677,2022-01-20
1021,8552.672866957477,2022-01-21
1022,4265.273573478986,2022-01-22
1023,9545.474869076339,2022-01-23
1024,1795.3282266181373,2022-01-24
1025,4450.390070063062,2022-01-25
1026,8091.736701622896,2022-01-26
1027,9527.947107479318,2022-01-27
1028,2222.1414660761125,2022-01-28
1029,8467.122622743587,2022-01-29
1030,3767.55788843177,2022-01-30
1031,9499.50579201628,2022-01-31
1032,6532.6215702890095,2022-02-01
1033,2042.69235205651,2022-02-02
1034,8385.432378031608,2022-02-03
1035,3495.2472951908944,2022-02-04
1036,9381.145218543319,2022-02-05
1037,9519.477121680264,2022-02-06
1038,5402.920850264518,2022-02-07
1039,6851.673712369101,2022-02-08
1040,3347.624198019506,2022-02-09
1041,1971.3258863582214,2022-02-10
1042,2900.4885270186533,2022-02-11
1043,8236.476448026788,2022-02-12
1044,5084.274000658554,2022-02-13
1045,5168.955418988636,2022-02-14
1046,7651.06047557938,2022-02-15
1047,4050.5544890101555,2022-02-16
1048,8077.87841230679,2022-02-17
1049,7144.298707590787,2022-02-18
1050,7921.752971281453,2022-02-19
1051,4620.924284406736,2022-02-20
1052,7224.6321196105455,2022-02-21
1053,8044.236477870637,2022-02-22
1054,2873.839987462341,2022-02-23
1055,1611.5383147896853,2022-02-24
1056,3507.492645445045,2022-02-25
1057,6531.558064499151,2022-02-26
1058,5923.741950678233,2022-02-27
1059,4450.429068562766,2022-02-28
1060,9121.230250792949,2022-03-01
1061,6426.5319324233915,2022-03-02
1062,8955.195409522166,2022-03-03
1063,3450.6726830905172,2022-03-04
1064,5600.2307434976465,2022-03-05
1065,6947.934262009517,2022-03-06
1066,8979.728844071804,2022-03-07
1067,1555.7402540205333,2022-03-08
1068,8486.941995990677,2022-03-09
1069,8363.065543345401,2022-03-10
1070,5227.9363402045565,2022-03-11
1071,4962.2835268630315,2022-03-12
1072,3239.3528598291095,2022-03-13
1073,2392.9224118361144,2022-03-14
1074,8877.682363204633,2022-03-15
1075,3984.6062573280083,2022-03-16
1076,4979.300334984893,2022-03-17
1077,7580.464854893932,2022-03-18
1078,1689.971098136797,2022-03-19
1079,7476.505447819171,2022-03-20
1080,2751.9898915394724,2022-03-21
1081,8895.22584022955,2022-03-22
1082,9219.90769843871,2022-03-23
1083,3012.90594624605,2022-03-24
1084,2169.4259351690243,2022-03-25
1085,6148.870554004673,2022-03-26
1086,4190.332236711198,2022-03-27
1087,2934.8098384758123,2022-03-28
1088,1511.7079457480804,2022-03-29
1089,6121.739350549565,2022-03-30
1090,8109.977178153809,2022-03-31
1091,1736.4684385177802,2022-04-01
1092,8339.131792146854,2022-04-02
1093,2544.18790589982,2022-04-03
1094,4974.2547531484415,2022-04-04
1095,8403.77366742826,2022-04-05
1096,6439.7423175111935,2022-04-06
1097,2403.1606391578425,2022-04-07
1098,6405.360523608859,2022-04-08
1099,1025.2461381381133,2022-04-09
1100,2924.235910641115,2022-04-10
1101,3526.189964902499,2022-04-11
1102,7398.457248836791,2022-04-12
1103,2465.9648782172135,2022-04-13
1104,1693.073845531838,2022-04-14
1105,7588.2826264097375,2022-04-15
1106,9284.409571788045,2022-04-16
1107,6166.294345881851,2022-04-17
1108,7794.946321991311,2022-04-18
1109,8085.065244586696,2022-04-19
1110,3439.4253353704853,2022-04-20
1111,7980.849544448291,2022-04-21
1112,9784.73655418159,2022-04-22
1113,7923.737896069866,2022-04-23
1114,5370.037438717276,2022-04-24
1115,5062.450856308755,2022-04-25
1116,3038.9096068718372,2022-04-26
1117,7288.036637655037,2022-04-27
1118,7479.222646587972,2022-04-28
1119,6254.404271155562,2022-04-29
1120,7450.419004134611,2022-04-30
1121,4584.987687518285,2022-05-01
1122,4998.111232701779,2022-05-02
1123,7347.086686903932,2022-05-03
1124,6746.988789784419,2022-05-04
1125,8801.922036350712,2022-05-05
1126,7080.103438619933,2022-05-06
1127,4843.2904163743615,2022-05-07
1128,7899.461183038991,2022-05-08
1129,4396.07692646077,2022-05-09
1130,7297.779331095521,2022-05-10
1131,6496.108703688331,2022-05-11
1132,4552.1052691343975,2022-05-12
1133,1148.2793350591487,2022-05-13
1134,2391.9674698025237,2022-05-14
1135,7871.3859110145295,2022-05-15
1136,7321.062181909426,2022-05-16
1137,4843.333768944447,2022-05-17
1138,5038.91001726212,2022-05-18
1139,3039.5142047755826,2022-05-19
1140,2241.4508581242335,2022-05-20
1141,4082.516866288421,2022-05-21
1142,3789.361176969462,2022-05-22
1143,3367.9249236603873,2022-05-23
1144,8451.465531226357,2022-05-24
1145,9855.674627837716,2022-05-25
1146,4750.725054794199,2022-05-26
1147,6232.211660395478,2022-05-27
1148,3214.341695181142,2022-05-28
1149,7990.335619571962,2022-05-29
1150,7476.989180248455,2022-05-30
1151,5259.0447198991005,2022-05-31
1152,7273.982375653035,2022-06-01
1153,7795.5858073424415,2022-06-02
1154,5544.569288667391,2022-06-03
1155,4698.084283636987,2022-06-04
1156,4788.537679942709,2022-06-05
1157,8479.723197096315,2022-06-06
1158,5037.207239014824,2022-06-07
1159,5766.570781258057,2022-06-08
1160,2683.909127067817,2022-06-09
1161,7545.026042634955,2022-06-10
1162,8055.3046921175555,2022-06-11
1163,7524.885684605896,2022-06-12
1164,9572.740147057222,2022-06-13
1165,4115.718543854602,2022-06-14
1166,4822.247821600682,2022-06-15
1167,4121.316624748486,2022-06-16
1168,3560.170992970936,2022-06-17
1169,4020.714312343048,2022-06-18
1170,5496.768618356643,2022-06-19
1171,4631.532991706319,2022-06-20
1172,3476.6825785674578,2022-06-21
1173,8586.017793827583,2022-06-22
1174,9301.241150618618,2022-06-23
1175,5113.282346727997,2022-06-24
1176,5493.960539328983,2022-06-25
1177,2146.0267213025604,2022-06-26
1178,9240.37552970499,2022-06-27
1179,7659.815418259387,2022-06-28
1180,8645.383185655746,2022-06-29
1181,2318.41656875892,2022-06-30
1182,2636.6802336256605,2022-07-01
1183,7149.964405144897,2022-07-02
1184,4430.05501099579,2022-07-03
1185,2287.668015012345,2022-07-04
1186,3524.9615416197635,2022-07-05
1187,4845.969183660771,2022-07-06
1188,7478.912108122129,2022-07-07
1189,1056.301180517336,2022-07-08
1190,8351.891276695285,2022-07-09
1191,5413.974090650807,2022-07-10
1192,3749.4821646866276,2022-07-11
1193,6666.855463185408,2022-07-12
1194,7405.683379172114,2022-07-13
1195,6831.410409294031,2022-07-14
1196,3078.3409674186805,2022-07-15
1197,3525.504348282963,2022-07-16
1198,7777.442049198876,2022-07-17
